Sample Name,Analysis Name,Mineral phase,Context,Unit Abbreviation,SiO2  ,TiO2,   Al2O3 ,FeO*   ,FeO,Fe2O3,CaO   ,Na2O  ,K2O,MnO   ,MgO   ,NiO   ,Cr2O3 ,V2O3 ,Total  ,XAb,XAn,XOr,XFa,XFo,XTp,XWo,XEn,XFs,XJd,XAe,XQuad,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG5,Plagioclase,Groundmass,bun,51.4,n/a,29.9,0.62,n/a,n/a,12.9,4.0,0.2,n/a,n/a,n/a,n/a,n/a,99.0,36,63,1.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG6,Plagioclase,Groundmass,bun,51.0,n/a,29.6,0.64,n/a,n/a,12.8,4.1,0.2,n/a,n/a,n/a,n/a,n/a,98.3,36,63,1.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG7,Plagioclase,Groundmass,bun,51.0,n/a,29.7,0.52,n/a,n/a,13.1,3.8,0.2,n/a,n/a,n/a,n/a,n/a,98.3,34,65,1.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG8,Plagioclase,Groundmass,bun,55.0,n/a,27.9,0.35,n/a,n/a,10.4,5.3,0.3,n/a,n/a,n/a,n/a,n/a,99.3,47,51,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG9,Plagioclase,Groundmass,bun,53.0,n/a,29.4,0.54,n/a,n/a,12.4,4.6,0.3,n/a,n/a,n/a,n/a,n/a,100.2,39,59,1.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG10,Plagioclase,Groundmass,bun,52.1,n/a,30.2,0.56,n/a,n/a,13.1,4.0,0.2,n/a,n/a,n/a,n/a,n/a,100.2,35,64,1.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG11,Plagioclase,Groundmass,bun,52.9,n/a,29.4,0.60,n/a,n/a,12.0,4.4,0.3,n/a,n/a,n/a,n/a,n/a,99.6,39,59,1.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG12,Plagioclase,Groundmass,bun,52.8,n/a,28.9,0.66,n/a,n/a,11.9,4.7,0.3,n/a,n/a,n/a,n/a,n/a,99.3,41,57,1.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG13,Plagioclase,Groundmass,bun,52.1,n/a,29.6,0.67,n/a,n/a,12.6,4.3,0.2,n/a,n/a,n/a,n/a,n/a,99.5,38,61,1.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG14,Plagioclase,Groundmass,bun,52.2,n/a,29.2,0.72,n/a,n/a,12.7,4.1,0.2,n/a,n/a,n/a,n/a,n/a,99.1,36,62,1.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD192,R16DD192-GM-PLAG15,Plagioclase,Groundmass,bun,51.8,n/a,29.7,0.64,n/a,n/a,13.0,4.0,0.2,n/a,n/a,n/a,n/a,n/a,99.3,35,63,1.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS090,R14TS090-GM-PLAG1,Plagioclase,Groundmass,bsu,50.0,n/a,29.7,0.54,n/a,n/a,12.5,3.7,0.2,n/a,n/a,n/a,n/a,n/a,96.6,35,64,0.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS090,R14TS090-GM-PLAG2,Plagioclase,Groundmass,bsu,53.8,n/a,18.3,4.40,n/a,n/a,12.5,4.7,0.4,n/a,n/a,n/a,n/a,n/a,94.1,40,58,2.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS090,R14TS090-GM-PLAG3,Plagioclase,Groundmass,bsu,50.6,n/a,30.9,0.56,n/a,n/a,13.5,3.4,0.1,n/a,n/a,n/a,n/a,n/a,99.1,31,68,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS090,R14TS090-GM-PLAG4,Plagioclase,Groundmass,bsu,52.3,n/a,29.6,0.72,n/a,n/a,12.3,4.2,0.2,n/a,n/a,n/a,n/a,n/a,99.3,38,61,1.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS090,R14TS090-GM-PLAG5,Plagioclase,Groundmass,bsu,55.0,n/a,25.8,1.71,n/a,n/a,9.3,5.5,0.7,n/a,n/a,n/a,n/a,n/a,98.0,49,46,4.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS090,R14TS090-GM-PLAG6,Plagioclase,Groundmass,bsu,53.0,n/a,29.2,0.94,n/a,n/a,11.9,4.5,0.2,n/a,n/a,n/a,n/a,n/a,99.7,40,58,1.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS090,R14TS090-GM-PLAG7,Plagioclase,Groundmass,bsu,58.6,n/a,25.0,0.82,n/a,n/a,6.7,7.2,0.9,n/a,n/a,n/a,n/a,n/a,99.2,63,32,5.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS090,R14TS090-GM-PLAG8,Plagioclase,Groundmass,bsu,53.1,n/a,28.1,0.92,n/a,n/a,10.3,5.3,0.4,n/a,n/a,n/a,n/a,n/a,98.1,47,50,2.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS090,R14TS090-GM-PLAG9,Plagioclase,Groundmass,bsu,55.3,n/a,26.3,0.64,n/a,n/a,8.4,6.2,0.5,n/a,n/a,n/a,n/a,n/a,97.3,55,41,3.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS090,R14TS090-GM-PLAG10,Plagioclase,Groundmass,bsu,50.4,n/a,29.9,0.53,n/a,n/a,12.5,3.9,0.1,n/a,n/a,n/a,n/a,n/a,97.3,36,63,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG1,Plagioclase,Groundmass,bsu,50.6,n/a,30.3,0.50,n/a,n/a,13.7,3.6,0.1,n/a,n/a,n/a,n/a,n/a,98.8,32,67,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG2,Plagioclase,Groundmass,bsu,51.4,n/a,29.9,0.48,n/a,n/a,13.2,3.9,0.2,n/a,n/a,n/a,n/a,n/a,99.1,34,65,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG3,Plagioclase,Groundmass,bsu,51.4,n/a,29.8,0.41,n/a,n/a,12.1,3.9,0.2,n/a,n/a,n/a,n/a,n/a,97.8,36,63,1.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG4,Plagioclase,Groundmass,bsu,52.8,n/a,29.0,0.45,n/a,n/a,12.0,4.6,0.2,n/a,n/a,n/a,n/a,n/a,99.1,40,59,1.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG5,Plagioclase,Groundmass,bsu,52.1,n/a,29.6,0.43,n/a,n/a,12.5,4.0,0.2,n/a,n/a,n/a,n/a,n/a,98.8,36,63,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG6,Plagioclase,Groundmass,bsu,51.8,n/a,30.3,0.51,n/a,n/a,13.3,4.0,0.2,n/a,n/a,n/a,n/a,n/a,100.1,35,64,0.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG7,Plagioclase,Groundmass,bsu,51.9,n/a,29.2,0.42,n/a,n/a,12.5,4.1,0.2,n/a,n/a,n/a,n/a,n/a,98.3,37,62,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG8,Plagioclase,Groundmass,bsu,51.8,n/a,30.4,0.45,n/a,n/a,13.2,4.0,0.1,n/a,n/a,n/a,n/a,n/a,100.0,35,64,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG9,Plagioclase,Groundmass,bsu,51.9,n/a,30.1,0.44,n/a,n/a,13.3,3.9,0.2,n/a,n/a,n/a,n/a,n/a,99.8,35,65,0.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG10,Plagioclase,Groundmass,bsu,51.8,n/a,30.3,0.49,n/a,n/a,12.9,4.1,0.2,n/a,n/a,n/a,n/a,n/a,99.8,36,63,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG11,Plagioclase,Groundmass,bsu,51.6,n/a,30.0,0.53,n/a,n/a,13.1,3.9,0.1,n/a,n/a,n/a,n/a,n/a,99.2,35,64,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG12,Plagioclase,Groundmass,bsu,52.8,n/a,29.8,0.46,n/a,n/a,12.5,4.7,0.2,n/a,n/a,n/a,n/a,n/a,100.5,40,59,1.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG13,Plagioclase,Groundmass,bsu,51.6,n/a,30.3,0.55,n/a,n/a,13.2,3.9,0.1,n/a,n/a,n/a,n/a,n/a,99.7,35,65,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG14,Plagioclase,Groundmass,bsu,52.3,n/a,29.8,0.45,n/a,n/a,12.9,4.0,0.2,n/a,n/a,n/a,n/a,n/a,99.7,36,63,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD200,R16DD200-GM-PLAG15,Plagioclase,Groundmass,bsu,52.5,n/a,29.8,0.46,n/a,n/a,12.6,4.3,0.2,n/a,n/a,n/a,n/a,n/a,99.9,38,61,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-GM-PLAG1,Plagioclase,Groundmass,bdw,52.1,n/a,29.9,0.66,n/a,n/a,12.9,4.2,0.1,n/a,n/a,n/a,n/a,n/a,99.9,37,62,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-GM-PLAG2,Plagioclase,Groundmass,bdw,51.3,n/a,30.0,0.82,n/a,n/a,13.2,3.7,0.2,n/a,n/a,n/a,n/a,n/a,99.2,33,66,1.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-GM-PLAG3,Plagioclase,Groundmass,bdw,51.1,n/a,30.0,0.66,n/a,n/a,13.1,3.9,0.2,n/a,n/a,n/a,n/a,n/a,99.0,35,64,0.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-GM-PLAG4,Plagioclase,Groundmass,bdw,51.8,n/a,29.3,0.59,n/a,n/a,12.8,4.0,0.2,n/a,n/a,n/a,n/a,n/a,98.7,36,63,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-GM-PLAG5,Plagioclase,Groundmass,bdw,51.6,n/a,30.0,0.65,n/a,n/a,13.3,3.8,0.1,n/a,n/a,n/a,n/a,n/a,99.5,34,65,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-GM-PLAG6,Plagioclase,Groundmass,bdw,51.7,n/a,29.6,0.74,n/a,n/a,13.1,3.9,0.2,n/a,n/a,n/a,n/a,n/a,99.2,35,64,1.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-GM-PLAG7,Plagioclase,Groundmass,bdw,52.7,n/a,28.7,0.75,n/a,n/a,12.1,4.5,0.2,n/a,n/a,n/a,n/a,n/a,99.0,40,59,1.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-GM-PLAG8,Plagioclase,Groundmass,bdw,50.9,n/a,29.2,0.66,n/a,n/a,12.9,4.0,0.1,n/a,n/a,n/a,n/a,n/a,97.8,36,64,0.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-GM-PLAG9,Plagioclase,Groundmass,bdw,52.3,n/a,29.4,0.60,n/a,n/a,12.7,4.3,0.1,n/a,n/a,n/a,n/a,n/a,99.4,37,62,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-PH-PLAG10C ,Plagioclase,Phenocryst 10 Core,bdw,52.5,n/a,29.6,0.34,n/a,n/a,12.4,4.4,0.2,n/a,n/a,n/a,n/a,n/a,99.4,39,60,0.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R16DD221,R16DD221-PH-PLAG10R ,Plagioclase,Phenocryst 10 Rim,bdw,53.1,n/a,28.6,0.46,n/a,n/a,11.9,4.7,0.2,n/a,n/a,n/a,n/a,n/a,99.0,41,58,1.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS141,R14TS141-GM-PLAG1,Plagioclase,Groundmass,bdw,49.4,n/a,32.2,0.54,n/a,n/a,15.8,2.7,0.1,n/a,n/a,n/a,n/a,n/a,100.7,23,76,0.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS141,R14TS141-GM-PLAG2,Plagioclase,Groundmass,bdw,50.7,n/a,30.9,0.74,n/a,n/a,14.4,3.4,0.1,n/a,n/a,n/a,n/a,n/a,100.2,30,70,0.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS141,R14TS141-GM-PLAG3,Plagioclase,Groundmass,bdw,51.7,n/a,30.2,0.85,n/a,n/a,13.2,4.0,0.1,n/a,n/a,n/a,n/a,n/a,100.1,35,64,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS141,R14TS141-GM-PLAG4,Plagioclase,Groundmass,bdw,51.3,n/a,29.6,1.07,n/a,n/a,13.0,3.9,0.2,n/a,n/a,n/a,n/a,n/a,99.1,35,64,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS141,R14TS141-GM-PLAG5,Plagioclase,Groundmass,bdw,50.4,n/a,30.9,0.72,n/a,n/a,14.8,3.1,0.1,n/a,n/a,n/a,n/a,n/a,100.0,27,72,0.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS141,R14TS141-GM-PLAG6,Plagioclase,Groundmass,bdw,48.8,n/a,31.9,0.58,n/a,n/a,15.7,2.5,0.1,n/a,n/a,n/a,n/a,n/a,99.6,22,77,0.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS141,R14TS141-GM-PLAG7,Plagioclase,Groundmass,bdw,50.9,n/a,30.4,0.67,n/a,n/a,14.2,3.3,0.1,n/a,n/a,n/a,n/a,n/a,99.6,30,70,0.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS141,R14TS141-GM-PLAG8,Plagioclase,Groundmass,bdw,50.6,n/a,30.9,0.53,n/a,n/a,14.7,3.1,0.1,n/a,n/a,n/a,n/a,n/a,99.9,28,72,0.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS141,R14TS141-GM-PLAG9,Plagioclase,Groundmass,bdw,49.7,n/a,31.4,0.59,n/a,n/a,15.0,3.1,0.1,n/a,n/a,n/a,n/a,n/a,99.9,27,72,0.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14TS141,R14TS141-GM-PLAG10,Plagioclase,Groundmass,bdw,50.0,n/a,31.1,0.59,n/a,n/a,14.8,3.1,0.1,n/a,n/a,n/a,n/a,n/a,99.7,27,72,0.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC102,R14AC102-GM-PLAG1,Plagioclase,Groundmass,bdw,51.5,n/a,29.8,0.59,n/a,n/a,13.2,3.9,0.1,n/a,n/a,n/a,n/a,n/a,99.1,34,65,0.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC102,R14AC102-GM-PLAG2,Plagioclase,Groundmass,bdw,50.8,n/a,30.4,0.61,n/a,n/a,13.9,3.7,0.1,n/a,n/a,n/a,n/a,n/a,99.5,32,67,0.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC102,R14AC102-GM-PLAG3,Plagioclase,Groundmass,bdw,51.2,n/a,29.7,0.60,n/a,n/a,13.1,4.1,0.1,n/a,n/a,n/a,n/a,n/a,98.8,36,63,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC102,R14AC102-GM-PLAG4,Plagioclase,Groundmass,bdw,50.8,n/a,30.3,0.63,n/a,n/a,14.0,3.4,0.1,n/a,n/a,n/a,n/a,n/a,99.2,31,69,0.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC102,R14AC102-GM-PLAG5,Plagioclase,Groundmass,bdw,51.4,n/a,30.0,0.63,n/a,n/a,13.4,3.8,0.1,n/a,n/a,n/a,n/a,n/a,99.3,34,66,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC102,R14AC102-GM-PLAG6,Plagioclase,Groundmass,bdw,50.5,n/a,30.6,0.55,n/a,n/a,14.0,3.5,0.1,n/a,n/a,n/a,n/a,n/a,99.3,31,68,0.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC102,R14AC102-GM-PLAG7,Plagioclase,Groundmass,bdw,51.5,n/a,30.0,0.60,n/a,n/a,13.4,3.8,0.1,n/a,n/a,n/a,n/a,n/a,99.4,33,66,0.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC102,R14AC102-GM-PLAG8,Plagioclase,Groundmass,bdw,51.9,n/a,29.5,0.61,n/a,n/a,13.0,4.1,0.1,n/a,n/a,n/a,n/a,n/a,99.2,36,63,0.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC102,R14AC102-GM-PLAG9,Plagioclase,Groundmass,bdw,51.1,n/a,30.1,0.62,n/a,n/a,13.3,3.8,0.1,n/a,n/a,n/a,n/a,n/a,99.0,34,65,0.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC102,R14AC102-GM-PLAG10,Plagioclase,Groundmass,bdw,51.2,n/a,30.2,0.57,n/a,n/a,13.3,3.7,0.1,n/a,n/a,n/a,n/a,n/a,99.1,33,66,0.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC69,MW5B-R1 ,Plagioclase,Phenocryst Rim,bar,53.0,n/a,28.0,0.38,n/a,n/a,11.3,5.0,0.3,n/a,n/a,n/a,n/a,n/a,98.0,44,55,1.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC69,MW5B-R2 ,Plagioclase,Phenocryst Rim,bar,53.6,n/a,28.1,0.34,n/a,n/a,11.2,4.8,0.3,n/a,n/a,n/a,n/a,n/a,98.3,43,55,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC69,MW5B-R4 ,Plagioclase,Phenocryst Rim,bar,52.9,n/a,27.6,0.36,n/a,n/a,11.1,5.1,0.3,n/a,n/a,n/a,n/a,n/a,97.4,45,53,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC69,MW5B-R5 ,Plagioclase,Phenocryst Rim,bar,53.0,n/a,27.6,0.35,n/a,n/a,10.8,5.1,0.3,n/a,n/a,n/a,n/a,n/a,97.2,45,53,1.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC69,MW5B-C1 ,Plagioclase,Phenocryst Core,bar,52.6,n/a,27.8,0.37,n/a,n/a,11.1,4.9,0.3,n/a,n/a,n/a,n/a,n/a,97.1,44,55,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC69,MW5B-C2 ,Plagioclase,Phenocryst Core,bar,53.8,n/a,27.5,0.44,n/a,n/a,10.7,5.4,0.3,n/a,n/a,n/a,n/a,n/a,98.1,47,51,1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
